State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound.1,90% CI Upper Bound.1,Poverty Estimate Under Age 18,90% CI Lower Bound.2,90% CI Upper Bound.2,Poverty Percent Under Age 18,90% CI Lower Bound.3,90% CI Upper Bound.3,Poverty Estimate Ages 5-17,90% CI Lower Bound.4,90% CI Upper Bound.4,Poverty Percent Ages 5-17,90% CI Lower Bound.5,90% CI Upper Bound.5,Median Household Income,90% CI Lower Bound.6,90% CI Upper Bound.6,Poverty Estimate Ages 0-4,90% CI Lower Bound.7,90% CI Upper Bound.7,Poverty Percent Ages 0-4,90% CI Lower Bound.8,90% CI Upper Bound.8,Year
04,9.0,AZ,Graham County,8655,7093,10217,26,21.3,30.7,3186,2581,3791,31.1,25.2,37,2139,1677,2601,29.9,23.4,36.4,40548,37528,43568,,,,,,,10
04,11.0,AZ,Greenlee County,1187,955,1419,13.9,11.2,16.6,429,336,522,17.7,13.8,21.6,286,220,352,16.2,12.5,19.9,51145,46052,56238,,,,,,,10
04,12.0,AZ,La Paz County,4861,3769,5953,24.2,18.8,29.6,1370,1064,1676,37.7,29.3,46.1,913,690,1136,35.4,26.7,44.1,30679,27897,33461,,,,,,,10
04,13.0,AZ,Maricopa County,665193,642455,687931,17.4,16.8,18,248542,236352,260732,25.1,23.9,26.3,166477,157266,175688,23.4,22.1,24.7,50785,50105,51465,,,,,,,10
04,15.0,AZ,Mohave County,42986,37582,48390,21.7,19,24.4,14910,12608,17212,37.4,31.6,43.2,10260,8505,12015,35.4,29.3,41.5,35998,33453,38543,,,,,,,10
04,17.0,AZ,Navajo County,34011,30690,37332,32.4,29.2,35.6,13772,12182,15362,44.5,39.4,49.6,9431,8292,10570,42.2,37.1,47.3,32425,30262,34588,,,,,,,10
04,19.0,AZ,Pima County,197078,186134,208022,20.4,19.3,21.5,64733,59132,70334,29.4,26.9,31.9,44859,40895,48823,28.5,26,31,44102,42591,45613,,,,,,,10
04,21.0,AZ,Pinal County,61863,54768,68958,17.4,15.4,19.4,22458,18919,25997,22.9,19.3,26.5,16183,13553,18813,23.5,19.7,27.3,45170,42727,47613,,,,,,,10
04,23.0,AZ,Santa Cruz County,12445,10404,14486,26.2,21.9,30.5,4985,3918,6052,35.1,27.6,42.6,3471,2667,4275,33,25.4,40.6,35500,32250,38750,,,,,,,10
04,25.0,AZ,Yavapai County,38480,33251,43709,18.4,15.9,20.9,11099,9120,13078,28.9,23.7,34.1,7306,5797,8815,25.7,20.4,31,41437,38205,44669,,,,,,,10
04,27.0,AZ,Yuma County,43109,36808,49410,22.3,19,25.6,17630,14640,20620,32.1,26.7,37.5,12178,10032,14324,30.7,25.3,36.1,37894,35119,40669,,,,,,,10
05,0.0,AR,Arkansas,550079,538191,561967,19.3,18.9,19.7,194242,187760,200724,27.8,26.9,28.7,128194,122698,133690,25.5,24.4,26.6,38889,38167,39611,62668.0,59124.0,66212.0,32.6,30.8,34.4,10
05,1.0,AR,Arkansas County,3439,2696,4182,18.5,14.5,22.5,1229,937,1521,28.3,21.6,35,787,582,992,24.8,18.3,31.3,37922,34348,41496,,,,,,,10
05,3.0,AR,Ashley County,4263,3386,5140,19.8,15.7,23.9,1588,1213,1963,30.6,23.4,37.8,1096,817,1375,29.1,21.7,36.5,37170,33906,40434,,,,,,,10
05,5.0,AR,Baxter County,6898,5656,8140,16.8,13.8,19.8,2049,1587,2511,28.1,21.8,34.4,1411,1069,1753,26.2,19.8,32.6,33312,30471,36153,,,,,,,10
05,7.0,AR,Benton County,27279,22997,31561,12.1,10.2,14,11317,9264,13370,18.3,15,21.6,7117,5586,8648,16.1,12.6,19.6,52644,50343,54945,,,,,,,10
05,9.0,AR,Boone County,6172,4842,7502,16.9,13.3,20.5,2239,1725,2753,27.1,20.9,33.3,1511,1143,1879,24.7,18.7,30.7,38411,35590,41232,,,,,,,10
05,11.0,AR,Bradley County,2757,2149,3365,24.4,19,29.8,970,746,1194,36.1,27.8,44.4,652,490,814,34.7,26.1,43.3,31118,28301,33935,,,,,,,10
05,13.0,AR,Calhoun County,819,633,1005,16.5,12.7,20.3,223,169,277,22.4,17,27.8,150,111,189,20.1,14.8,25.4,35464,31946,38982,,,,,,,10
05,15.0,AR,Carroll County,5075,4073,6077,18.7,15,22.4,1799,1386,2212,29.8,23,36.6,1211,907,1515,27.2,20.4,34,33579,31121,36037,,,,,,,10
05,17.0,AR,Chicot County,3679,2971,4387,33.4,27,39.8,1279,1021,1537,48.2,38.5,57.9,883,696,1070,48,37.8,58.2,27966,25397,30535,,,,,,,10
05,19.0,AR,Clark County,4678,3741,5615,23.1,18.5,27.7,1304,1022,1586,30.3,23.8,36.8,859,654,1064,27.8,21.2,34.4,34478,31303,37653,,,,,,,10
05,21.0,AR,Clay County,3163,2503,3823,20.1,15.9,24.3,985,749,1221,28.9,22,35.8,677,504,850,26.4,19.7,33.1,32564,29323,35805,,,,,,,10
05,23.0,AR,Cleburne County,4130,3199,5061,16.2,12.6,19.8,1329,1017,1641,26.2,20.1,32.3,910,685,1135,24.3,18.3,30.3,42265,39084,45446,,,,,,,10
05,25.0,AR,Cleveland County,1441,1142,1740,16.7,13.2,20.2,521,402,640,24.6,19,30.2,350,265,435,22.4,17,27.8,41864,37844,45884,,,,,,,10
